OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2023-08-01,13,0,2023-08-01T19:00:00-00:00,2023-08-01T20:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1675.34444,ACTUAL,1
2023-08-01,15,0,2023-08-01T21:00:00-00:00,2023-08-01T22:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1587.32335,ACTUAL,1
2023-08-01,12,0,2023-08-01T18:00:00-00:00,2023-08-01T19:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1678.77013,ACTUAL,1
2023-08-01,19,0,2023-08-02T01:00:00-00:00,2023-08-02T02:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1068.84495,ACTUAL,1
2023-08-01,11,0,2023-08-01T17:00:00-00:00,2023-08-01T18:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1687.79596,ACTUAL,1
2023-08-01,24,0,2023-08-02T06:00:00-00:00,2023-08-02T07:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-0.26028,ACTUAL,1
2023-08-01,10,0,2023-08-01T16:00:00-00:00,2023-08-01T17:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1602.65023,ACTUAL,1
2023-08-01,16,0,2023-08-01T22:00:00-00:00,2023-08-01T23:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1580.47284,ACTUAL,1
2023-08-01,9,0,2023-08-01T15:00:00-00:00,2023-08-01T16:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1463.94885,ACTUAL,1
2023-08-01,23,0,2023-08-02T05:00:00-00:00,2023-08-02T06:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-0.25384,ACTUAL,1
2023-08-01,8,0,2023-08-01T14:00:00-00:00,2023-08-01T15:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,878.90364,ACTUAL,1
